SUPER FAMILY,FAMILY,SUB FAMILY,FAMILY COMMON NAME,SPECIES,COMMON NAME,DESCRIPTION,STATES,HOST PLANTS
Hesperioidea,Hesperiidae,,Skippers,Poanes Aaroni,Aaron's Skipper,"","DE, MD, NJ, NY, NC, VA","Panicum, Spartina"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Acadica,Acadian Hairstreak,"","CT, MD, MA, NJ, NY, OH, PA, RI","Salix"
Hesperioidea,Hesperiidae,,Skippers,Euphyes Alabamae,Alabama skipper,"","NC, VA",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaena Phlaeas,American Copper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Rumex"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Idella,American Holly Azure,"","DE, MD, NJ, NC, VA","Ilex"
Papilionoidea,Nymphalidae,,Brush-footed,Vanessa Virginiensis,American Lady,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Anaphalis, Antennaria, Antirrhinum, Artemisia, Aster, Diospyros, Gamochaeta, Gnaphalium, Myosotis, Pseudognaphalium, Senecio"
Papilionoidea,Nymphalidae,,Brush-footed,Agraulis Vanillae,American Snout,"","DE, MD, NJ, NY, NC, OH, PA, VA","Passiflora"
Papilionoidea,Nymphalidae,,Brush-footed,Dione Vanillae,American Snout,"","DE, MD, NJ, NY, NC, OH, PA, VA",""
Papilionoidea,Nymphalidae,Libytheidae,Snout Butterflies,Libytheana Carinenta,American Snout,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA","Celtis, Symphoricarpos"
Papilionoidea,Nymphalidae,,Brush-footed,Speyeria Aphrodite,Aphrodite Fritillary,"","MD, MA, NJ, NY, NC, OH, PA, VA, WV","Viola"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Neglectamajor,Appalachian Azure,"","CT, DE, MD, NJ, NY, NC, OH, PA, VA, WV","Actaea"
Papilionoidea,Nymphalidae,Satyridae,Browns,Satyrodes Appalachia,Appalachian Brown,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Carex, Rhynchospora"
Hesperioidea,Hesperiidae,,Skippers,Pyrgus Centaureae Wyandot,Appalachian Grizzled Skipper,"","MD, NJ, NY, NC, PA, VA","Fragaria"
Hesperioidea,Hesperiidae,,Skippers,Pyrgus Wyandot,Appalachian Grizzled Skipper,"","MD, NJ, NY, PA",""
Papilionoidea,Papilionidae,,Swallowtails,Pterourus Appalachiensis,Appalachian Tiger Swallowtail,"","",""
Papilionoidea,Nymphalidae,,Brush-footed,Boloria Chariclea,Arctic Fritillary,"","PA, VA",""
Hesperioidea,Hesperiidae,,Skippers,Carterocephalus Palaemon,Arctic Skipper,"","CT, MA, NJ, NY, PA","Calamagrostis"
Hesperioidea,Hesperiidae,,Skippers,Carterocephalus Palaemon Mandan,Arctic Skipper,"","CT, MA, NJ, NY, PA",""
Hesperioidea,Hesperiidae,,Skippers,Atrytone Arogos,Arogos Skipper,"","NJ, NY, NC, OH, PA, VA","Andropogon, Ctenium, Schizachyrium, Sorghastrum"
Papilionoidea,Nymphalidae,,Brush-footed,Boloria Selene,Atlantis Fritillary,"","CT, MD, MA, NJ, NY, OH, PA, RI, VA, WV","Viola"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Calanus,Banded Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Acer, Carya, Castanea, Fraxinus, Juglans, Malus, Quercus"
Papilionoidea,Nymphalidae,,Brush-footed,Basilarchia Arthemis,Banded Purple,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Alnus, Amelanchier, Betula, Carpinus, Crataegus, Cydonia, Fagus, Gaylussacia, Malus, Populus, Prunus, Pyrus, Quercus, Salix, Sorbus, Tilia, Ulmus, Vaccinium"
Papilionoidea,Pieridae,,Whites & Sulfers,Eurema Daira,Barred Yellow,"","NC, RI, VA","Aeschynomene, Cassia, Glycine, Indigofera, Medicago, Stylosanthes, Trifolium, Vicia"
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Belli,Bell's Roadside-Skipper,"","OH, PA",""
Hesperioidea,Hesperiidae,,Skippers,Euphyes Conspicua,Black Dash,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Carex"
Papilionoidea,Papilionidae,,Swallowtails,Papilio Polyxenes,Black Swallowtail,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Anethum, Angelica, Apium, Cicuta, Cryptotaenia, Daucus, Dictamnus, Eryngium, Foeniculum, Magnolia, Osmorhiza, Oxypolis, Pastinaca, Petroselinum, Ptilimnium, Ruta, Sium, Spermolepis, Taenidia, Thaspium, Zizia"
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaena Epixanthe,Bog Copper,"","CT, MD, MA, NJ, NY, OH, PA, RI, WV","Vaccinium"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Lanoraieensis,Bog Elfin,"","NY, OH","Picea"
Papilionoidea,Nymphalidae,,Brush-footed,Boloria Eunomia,Bog Fritillary,"","PA, VA",""
Hesperioidea,Hesperiidae,,Skippers,Calpodes Ethlius,Brazilian Skipper,"","MD, NJ, NY, NC, PA, VA","Canna"
Hesperioidea,Hesperiidae,,Skippers,Poanes Viator,Broad-winged Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA","Carex, Zizania, Zizaniopsis"
Hesperioidea,Hesperiidae,,Skippers,Poanes Viator Zizaniae,Broad-winged Skipper,"","","Panicum, Phragmites, Zizania, Zizaniopsis"
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaena Hyllus,Bronze Copper,"","CT, DE, MD, MA, NJ, NY, OH, PA, RI, VA, WV","Rumex"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Augustinus,Brown Elfin,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Hesperioidea,Hesperiidae,,Skippers,Problema Byssus,Byssus Skipper,"","NC, PA","Andropogon, Tripsacum"
Papilionoidea,Pieridae,,Whites & Sulfers,Pieris Rapae,Cabbage White,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Brassica, Lepidium, Nasturtium, Raphanus, Rorippa, Sinapis, Tropaeolum"
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis Californica,California Tortoiseshell,"","NY, PA","Ceanothus, Medicago"
